"id","gender","partyAffiliation","partyMix","householdHead","householdRank","income","homeOwner","mailOrder","compOwner","educationLevel","donateReligion","donatePolitics","donateArts","donateAnimals","donateChild","donateHealth","donatePoverty","donateEnvironment","fec_01_02","fec_99_00","fec_97_98","fec_95_96","fec_93_94","fec_03_04","fec_05_06","dontPhone","ageD","cnt","gen90","pri90","oth90","gen91","pri91","oth91","gen92","ppp92","oth92","gen93","pri93","oth93","gen94","pri94","oth94","gen95","pri95","oth95","gen96","ppp96","oth96","gen97","pri97","oth97","gen98","pri98","oth98","gen99","pri99","oth99","gen00","ppp00","oth00","gen01","pri01","oth01","gen02","pri02","oth02","pri03","gen03","oth03","ppp04","oth04","gen04","cntEligible","percentAttended","ageY","pProb","pNodes","ageC","incC","eduC","pSegs"
"866","F","U","noneRorD","M","2","E","1","1","1","E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",14292,12,"1","1","0","1","0","1","1","0","0","1","1","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",7,0.2,39.1004596191727,0.5109252900343,15,"(36.7,45.8]","35k-75k","postsec","13"
"867","M","U","noneRorD","H","1","H","A","1","1","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",12448,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,34.0555920332677,0.280360792504325,14,"(19.2,36.7]","> 75k","secondary","12"
"868","M","D","allD","H","1","E","A","1","0","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",23095,17,"0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","1","0","1","1","0","1","0","0","1","1","0","1","1","0","1","0","0",17,0.386363636363636,63.1839571022106,0.846006875875374,8,"(54.2,108]","35k-75k","secondary","6"
"869","M","U","noneR","M","3+","E","A","1","1","E","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","N",7481,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1",1,0.125,20.4667323265485,0.789716818746663,12,"(19.2,36.7]","35k-75k","postsec","10"
"870","F","U","noneRorD","M","2","E","A","1","1","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",15584,8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1",8,0.275862068965517,42.6351499233968,0.923004567011181,15,"(36.7,45.8]","35k-75k","secondary","13"
"871","M","U","noneRorD","H","1","C","B","1","1","C","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","Y",22430,12,"0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1",12,0.272727272727273,61.3646312103305,0.693034973022837,14,"(54.2,108]","< 35k","secondary","12"
"872","M","U","noneRorD","M","2","C","A","1","0","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",18103,14,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","1",14,0.4375,49.5267016852703,0.997099423761198,15,"(45.8,54.2]","< 35k","secondary","13"
"873","F","R","allR","M","2","D","A","1","1","E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",19114,20,"1","0","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","1","1","1","0","0","0","1",20,0.454545454545455,52.2926242066098,0.864331834235468,9,"(45.8,54.2]","35k-75k","postsec","7"
"874","M","D","allD","H","1","G","A","1","0","B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",27625,18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","0","0","1","1","0","1","1","0","1","0","1",18,0.409090909090909,75.5772597942657,0.846549991430832,8,"(54.2,108]","> 75k","primary","6"
"875","F","U","noneRorD","M","2","F","D","1","1","C","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","N",13963,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1",3,0.214285714285714,38.2003720726636,0.949423968300416,15,"(36.7,45.8]","> 75k","secondary","13"
